unity_time;FPS
0.000;103.72
0.100;114.26
0.200;121.50
0.300;130.72
0.400;131.08
0.500;138.50
0.600;143.48
0.700;138.12
0.800;126.54
0.900;135.46
1.000;133.60
1.100;143.07
1.200;155.28
1.300;159.70
1.400;164.40
1.500;155.88
1.600;143.82
1.700;166.73
1.800;169.81
1.900;154.43
2.000;163.62
2.100;168.87
2.200;173.50
2.300;176.63
2.400;187.85
2.500;183.26
2.600;184.74
2.700;181.98
2.800;159.26
2.900;167.84
3.000;167.03
3.100;173.06
3.200;171.52
3.300;167.00
3.400;177.16
3.500;169.51
3.600;171.42
3.700;179.07
3.800;169.98
3.900;151.38
4.000;161.77
4.100;167.16
4.200;153.48
4.300;164.97
4.400;155.00
4.500;155.18
4.600;175.84
4.700;181.52
4.800;163.97
4.900;178.11
5.000;171.94
5.100;176.33
5.200;164.76
5.300;168.52
5.400;177.42
5.500;177.99
5.600;177.48
5.700;182.73
5.800;180.69
5.900;163.06
6.000;165.11
6.100;168.94
6.200;178.90
6.300;177.52
6.400;180.24
6.500;172.45
6.600;178.04
6.700;170.18
6.800;169.32
6.900;172.01
7.000;169.59
7.100;158.79
7.200;163.87
7.300;170.45
7.400;154.27
7.500;154.36
7.600;144.14
7.700;151.08
7.800;146.28
7.900;142.99
8.000;143.11
8.100;141.66
8.200;140.88
8.300;147.39
8.400;156.52
8.500;153.78
8.600;160.02
8.700;162.03
8.800;166.43
8.900;172.83
9.000;167.35
9.100;163.84
9.200;163.23
9.300;173.19
9.400;174.62
9.500;170.32
9.600;176.45
9.700;161.64
9.800;169.25
9.900;181.89
10.000;170.96
10.100;174.06
10.200;178.18
10.300;184.44
10.400;186.93
10.500;189.01
10.600;186.04
10.700;184.82
10.800;180.88
10.900;188.27
11.000;182.78
11.100;179.31
11.200;182.98
11.300;179.24
11.400;174.75
11.500;171.17
11.600;159.42
11.700;162.34
11.800;154.32
11.900;156.42
12.000;141.02
12.100;147.44
12.200;141.32
12.300;134.48
12.400;132.81
12.500;130.85
12.600;123.21
12.700;121.24
12.800;118.28
12.900;121.82
13.000;119.11
13.100;123.76
