Time(s);RTF
0.00;0.00
0.10;0.98
0.20;1.00
0.30;0.99
0.40;1.00
0.50;1.00
0.60;1.00
0.70;0.98
0.80;1.02
0.90;1.01
1.00;0.99
1.10;0.99
1.20;1.03
1.30;0.99
1.40;0.99
1.50;1.00
1.60;1.02
1.70;0.99
1.80;1.02
1.90;1.01
2.00;0.98
2.10;1.00
2.20;1.00
2.30;1.00
2.40;1.00
2.50;1.01
2.60;1.00
2.70;1.00
2.80;1.00
2.90;1.01
3.00;0.99
3.10;1.00
3.20;1.00
3.30;1.00
3.40;1.01
3.50;1.00
3.60;1.00
3.70;0.99
3.80;1.01
3.90;1.00
4.00;1.01
4.10;1.01
4.20;0.99
4.30;0.99
4.40;1.00
4.50;0.97
4.60;1.04
4.70;1.03
4.80;0.97
4.90;1.00
5.00;1.00
5.10;1.00
5.20;1.00
5.30;0.98
5.40;1.05
5.50;1.00
5.60;0.98
5.70;1.02
5.80;0.98
5.90;1.01
6.00;0.97
6.10;1.07
6.20;0.98
6.30;1.00
6.40;0.99
6.50;0.99
6.60;1.03
6.70;1.01
6.80;0.99
6.90;1.00
7.00;0.99
7.10;0.99
7.20;1.02
7.30;0.99
7.40;1.02
7.50;1.00
7.60;0.97
7.70;1.02
7.80;0.98
7.90;1.00
8.00;1.00
8.10;1.00
8.20;0.97
8.30;1.02
8.40;1.02
8.50;0.98
8.60;1.02
8.70;0.99
8.80;0.99
8.90;1.01
9.00;0.99
9.10;1.01
9.20;1.02
9.30;0.99
9.40;1.01
9.50;0.99
9.60;1.00
9.70;1.00
9.80;1.01
9.90;0.99
10.00;0.98
10.10;1.04
10.20;0.99
10.30;0.97
10.40;1.03
10.50;0.99
10.60;1.00
10.70;0.99
10.80;1.00
10.90;0.99
11.00;1.01
11.10;1.00
11.20;1.01
11.30;0.99
11.40;1.01
11.50;1.00
11.60;0.99
11.70;1.01
11.80;1.00
11.90;1.01
12.00;0.98
12.10;0.98
12.20;1.01
12.30;0.99
12.40;1.01
12.50;0.99
12.60;1.01
12.70;1.00
12.80;0.99
12.90;0.99
13.00;1.05
13.10;0.98
13.20;0.99
13.30;0.99
13.40;1.00
13.50;1.00
13.60;0.97
13.70;1.03
13.80;1.00
13.90;0.97
14.00;0.99
14.10;1.05
14.20;0.99
14.30;1.01
14.40;0.97
14.50;0.99
14.60;0.98
14.70;1.02
14.80;1.03
14.90;1.01
15.00;0.99
15.10;0.98
15.20;1.02
15.30;1.01
15.40;0.94
15.50;1.05
15.60;1.00
15.70;1.01
15.80;1.00
15.90;0.98
16.00;0.99
16.10;1.03
16.20;1.00
16.30;0.99
16.40;1.00
16.50;0.99
16.60;1.03
16.70;1.01
16.80;0.97
16.90;1.01
17.00;1.00
17.10;1.00
17.20;0.94
17.30;1.07
17.40;0.96
17.50;1.04
17.60;1.01
17.70;0.99
17.80;1.01
17.90;0.99
18.00;1.01
18.10;0.99
18.20;1.01
18.30;1.00
18.40;0.97
18.50;1.03
18.60;0.98
18.70;1.01
18.80;0.99
18.90;1.03
19.00;0.98
19.10;1.01
19.20;0.98
19.30;1.04
19.40;0.96
19.50;1.00
19.60;1.01
19.70;1.00
19.80;1.00
19.90;0.98
20.00;1.01
20.10;1.03
20.20;1.03
20.30;0.96
20.40;0.97
20.50;1.03
20.60;0.97
20.70;1.02
20.80;0.98
20.90;1.04
21.00;0.99
21.10;1.01
21.20;1.01
21.30;1.02
21.40;0.95
21.50;1.03
21.60;0.99
21.70;1.02
21.80;0.99
21.90;1.00
22.00;0.99
22.10;0.99
22.20;1.04
22.30;0.98
22.40;0.99
22.50;1.02
22.60;1.01
22.70;1.00
22.80;0.98
22.90;1.01
23.00;1.00
23.10;1.03
23.20;0.99
23.30;0.98
23.40;1.02
23.50;1.00
23.60;1.02
23.70;0.97
23.80;1.01
23.90;1.01
24.00;0.99
24.10;0.99
24.20;1.02
24.30;1.01
24.40;0.99
24.50;1.02
24.60;0.96
24.70;1.04
24.80;0.99
24.90;1.01
25.00;1.00
25.10;1.01
25.20;0.99
25.30;1.00
25.40;1.00
25.50;0.99
25.60;0.99
25.70;1.01
25.80;1.00
25.90;1.00
26.00;0.99
26.10;1.02
26.20;0.98
26.30;1.02
26.40;0.99
26.50;0.99
26.60;0.94
26.70;1.06
26.80;0.99
26.90;1.02
27.00;0.98
27.10;0.98
27.20;1.01
27.30;0.99
27.40;1.03
27.50;1.00
27.60;0.96
27.70;1.00
27.80;1.02
27.90;1.02
28.00;0.96
28.10;1.02
28.20;1.01
28.30;1.00
28.40;0.99
28.50;1.01
28.60;1.00
28.70;1.01
28.80;0.99
28.90;0.98
29.00;0.99
29.10;1.03
29.20;0.96
29.30;1.02
29.40;1.03
29.50;0.98
29.60;1.00
29.70;1.01
29.80;1.00
29.90;0.94
30.00;1.04
30.10;1.03
30.20;1.02
30.30;0.97
30.40;1.01
30.50;0.98
30.60;1.02
30.70;1.00
30.80;0.98
30.90;1.00
31.00;1.00
31.10;1.01
31.20;0.97
31.30;1.05
31.40;1.00
31.50;0.99
31.60;1.01
31.70;0.99
31.80;1.01
31.90;0.99
32.00;1.03
32.10;0.97
32.20;0.99
32.30;1.00
32.40;1.00
